DocumentID	DocumentTitleEn	DocumentTitleAr
D546	Temperature measurement	none
D547	Kanab ambersnail	كاناب أمبرسنيل
D548	Spanish language in the United States	none
D549	Sic	تكذية (كتب)
D550	List of Tokyo Mew Mew characters	none
D551	Sedimentary rock	صخر رسوبي
D552	Human skeleton	هيكل عظمي بشري
D553	Saint Patrick	القديس باتريك
D554	Golden ratio	نسبة ذهبية
D555	North Myrtle Beach, South Carolina	نورث ميرتل بيتش
D556	Margot Frank	none
D557	World War I	الحرب العالمية الأولى
D558	Camden, New Jersey	كامدن (نيوجرسي)
D559	Plasma (physics)	بلازما (فيزياء)
D560	Amitriptyline	أميتربتيلين
D561	Computer	حاسوب
D562	Barefoot and pregnant	none
D563	Oakhurst, New Jersey	none
D564	University of Phoenix Stadium	ملعب جامعة فينيكس
D565	Joshua Chamberlain	none
D566	Maryland Circuit Courts	none
D567	Innings	none
D568	Adenosine deaminase deficiency	none
D569	Douglas MacArthur	دوغلاس ماكارثر
D570	Poverty	فقر
D571	Mushroom poisoning	تسمم المشروم
D572	Station identification	none
D573	Human height	طول البشر
D574	Leap year	سنة كبيسة
D575	Apollo 11	أبولو 11
D576	Genocides in history	الإبادة الجماعية في التاريخ
D577	Timing belt	none
D578	Culture of the United States	ثقافة الولايات المتحدة
D579	Samoan language	لغة ساموية
D580	Glucose tolerance test	اختبار تحمل الجلوكوز
D581	What About Me (song)	none
D582	Egg (food)	none
D583	Major League Soccer	الدوري الأمريكي لكرة القدم
D584	Henry Ford	هنري فورد
D585	Hajj	الحج في الإسلام
D586	Bethlehem, Pennsylvania	بيت لحم (بنسيلفانيا)
D587	Legality of cannabis	مشروعية الحشيش
D588	Urban area	منطقة حضرية
D589	Ejection fraction	الجزء المقذوف
D590	California State Route 14	none
D591	Blindness	none
D592	DMX (rapper)	none
D593	ShopNBC	none
D594	Professional certification	none
D595	Post and lintel	none
D596	Knossos	كنوسوس
D597	The Scarlet Letter	الحرف القرمزي
D598	Bugs Bunny	باغز باني
D599	Mucous membrane	غشاء مخاطي
D600	Cricket Wireless	none
D601	Master Sergeant	none
D602	Cake	كعك
D603	Tammy Faye Messner	none
D604	Cambria, Wisconsin	كامبريا (ويسكونسن)
D605	Public policy	سياسة عامة
D606	Digestion	هضم
D607	Henry VIII of England	هنري الثامن ملك إنجلترا
D608	Bongo drum	none
D609	Dred Scott v. Sandford	none
D610	Neighborhoods in Columbus, Ohio	none
D611	Biologist	أحيائي
D612	BASE jumping	none
D613	Judaism	يهودية
D614	British Shorthair	قط بريطاني قصير الشعر
D615	United States men's national basketball team	منتخب الولايات المتحدة لكرة السلة
D616	Super Bowl ring	none
D617	Stalagmite	صواعد الكهوف
D618	List of How I Met Your Mother episodes	none
D619	Gringo	غرينغو
D620	Great white shark	قرش أبيض كبير
D621	United States Marshals Service	none
D622	Billy the Kid	الولد بيلي
D623	United States armed forces	none
D624	Freedom of speech	حرية التعبير
D625	List of The Big Bang Theory episodes	none
D626	Dwight D. Eisenhower	دوايت أيزنهاور
D627	Air force one	none
D628	Wedding anniversary	none
D629	Thyroid hormone	none
D630	Automatic Document Feeder	none
D631	Fair Park	none
D632	San Jose, California	سان خوسيه (كاليفورنيا)
D633	History of Europe	تاريخ أوروبا
D634	Category:Extinct dog breeds	none
D635	Wii Speak	none
D636	Smart key	none
D637	Univision	يونيفزيون
D638	Formation and evolution of the Solar System	تشكل وتطور المجموعة الشمسية
D639	The Trial	المحاكمة (رواية)
D640	Lisa Loeb	none
D641	Connecticut Huskies	none
D642	Coat of arms of New Jersey	none
D643	We Can Work It Out	none
D644	Pedophilia	غلمانية
D645	Julio César Chávez	none
D646	The Holocaust	الهولوكوست
D647	4-H	none
D648	List of dukes in the peerages of Britain and Ireland	none
D649	Flag of Chile	علم تشيلي
D650	Generation Y	none
D651	Great Fire of Rome	حريق روما الكبير
D652	Virginia	فرجينيا
D653	Windows Movie Maker	ويندوز موفي ميكر
D654	Ku Klux Klan	كو كلوكس كلان
D655	Joe Bonamassa	none
D656	Brenda's Got a Baby	none
D657	Pokémon	none
D658	Dada	دادا
D659	Trophic level	none
D660	John F. Kennedy	جون كينيدي
D661	Silk	حرير
D662	Late Show with David Letterman	العرض المتأخر مع ديفيد ليترمان
D663	Wicca	ويكا
D664	The Real Housewives of Orange County	none
D665	Uncle Sam	العم سام
D666	Karma in Buddhism	none
D667	Cyberstalking	none
D668	Syringe	محقنة
D669	Business letter	خطاب الأعمال
D670	Tilapia	بلطي (سمك)
D671	Maximum life span	الحد الأقصى للمدى العمري
D672	Turner & Hooch	none
D673	List of Israeli airports	none
D674	Adolf Hitler	أدولف هتلر
D675	David Carradine	ديفيد كارادين
D676	Domain name	نطاق (إنترنت)
D677	Nitrate	نترات
D678	Agriculture in the United States	none
D679	Mpemba effect	ظاهرة مابيمبا
D680	Siamese (cat)	none
D681	Bowel obstruction	none
D682	QFC	none
D683	Money supply	معروض نقدي
D684	Imax	none
D685	Today's Special	none
D686	Constitutionalism	none
D687	Ice-cream headache	none
D688	Squirrel	سنجابيات
D689	Auld Lang Syne	نشيد الوداع
D690	Leeroy Jenkins	none
D691	BART Police shooting of Oscar Grant	none
D692	Keith Richards	كيث ريتشاردز
D693	Speaker of the United States House of Representatives	none
D694	Harlem Renaissance	نهضة هارلم
D695	History of Africa	تاريخ أفريقيا
D696	Gulf War	حرب الخليج الثانية
D697	Hitting for the cycle	none
D698	Windows Task Manager	none
D699	The Troop	none
D700	Economy of the Democratic Republic of the Congo	اقتصاد جمهورية الكونغو الديمقراطية
D701	Afterimage	none
D702	List of Lost episodes	قائمة حلقات الضياع
D703	Flat feet	قدم مسطحة
D704	Diplexer	none
D705	What Happens in Vegas	ما يحدث في فيغاس
D706	Generation X	الجيل إكس
D707	Pressure ulcer	قرحة فراش
D708	Overboard (film)	none
D709	James Dean	جيمس دين
D710	Green Bay, Wisconsin	غرين باي
D711	Luteinizing hormone	هرمون منشط للجسم الأصفر
D712	Selena	سيلينا
D713	Stahlhelm	خوذة ستولهلم
D714	Glow-in-the-dark	none
D715	American frontier	الغرب الأمريكي القديم
D716	Airline hub	محور خطوط جوية
D717	Sparta	أسبرطة
D718	Fantasy football (American)	كرة القدم الخيالية
D719	ASUS Eee PC	none
D720	Gold bar	none
D721	Bolingbrook, Illinois	بوليغ بروك (إلينوي)
D722	Jet stream	تيار نفاث
D723	Archie Manning	none
D724	Advocacy	none
D725	Flag of Mexico	علم المكسيك
D726	Destination marketing organization	none
D727	Elk	الإلكة
D728	United States Constitution	دستور الولايات المتحدة
D729	George Washington University	جامعة جورج واشنطن
D730	Measuring instrument	جهاز قياس
D731	Multicam	none
D732	Lion	أسد
D733	Islam in the United Kingdom	الإسلام في المملكة المتحدة
D734	Interstate 75 in Florida	none
D735	American football	كرة القدم الأمريكية
D736	History of video game consoles (seventh generation)	none
D737	Sgt. Pepper's Lonely Hearts Club Band	none
D738	Temporal lobe	فص صدغي
D739	Human lung	none
D740	JPMorgan Chase	جي بي مورغان تشيس
D741	Battle of Iwo Jima	معركة ايو جيما
D742	Margarita	مارغريتا
D743	Burgundy (color)	كستنائي (لون)
D744	Missing in action	فقد في المعركة
D745	Center, Texas	سنتر (تكساس)
D746	Our Song	none
D747	Red-eye effect	تأثير العين الحمراء
D748	University of California, Santa Barbara	جامعة كاليفورنيا (سانتا باربرا)
D749	Saint Joseph's Day	none
D750	Bumblebee	نحل طنان
D751	Open carry in the United States	none
D752	French colonial empire	الإمبراطورية الفرنسية الاستعمارية
D753	Color motion picture film	none
D754	A Tale of Two Cities	قصة مدينتين
D755	Ashanti (entertainer)	none
D756	Data integrity	سلامة البيانات
D757	United States Army Air Forces	none
D758	Super Bowl XLV	none
D759	Freedom of Information Act (United States)	none
D760	European Union	الاتحاد الأوروبي
D761	Wales national rugby league team	none
D762	Cardiomyopathy	اعتلال عضلة القلب
D763	Fuck	فاك (كلمة)
D764	Passenger vehicles in the United States	none
D765	Medical laboratory	علم المختبرات السريرية
D766	List of poker hands	none
D767	Bruce Hornsby	none
D768	Agriculture in Cuba	none
D769	Mega Millions	none
